store	date_open	date_close	cart	source	seat	place_checkout	order	orderdate	product	quantity	options	place_item	user	customer
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-17T23:36:16Z	2022-09-17T23:43:10Z	537d4a383a77d5edc8f4fe5566b1c4d7014cdad6	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	8dbb32876c7a76f93a5d2fc2bb124e5e2c9e7169	2022-09-17T23:43:09Z	67c82b72ac9d52ec49a1f115dfa0aeff0f514989	-1		7sa4clpol45ht	8q0tccgu00t9o	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-17T23:43:08Z	2022-09-17T23:45:18Z	d1e1566f71dcce84321b81123403fa03e823b088	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	6eaee6d7be1b546d68a5f6e28727cab7d1d3f8f8	2022-09-17T23:43:12Z	b5f32314a60867a5f73a59b88fa58fa4c96645e7	1		7sa4clpol45ht	1cb0nsb92i02	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-17T23:26:37Z	2022-09-17T23:45:31Z	5473a87c627c6bf978f5295603de6e1f32344298	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	7514b4d4b527f5b1650e2b99ee7b1669a64fba20	2022-09-17T23:26:39Z	5a59459c778cc7ed48e02fdfe2500d3444a1eeb9	6		7sa4clpol45ht	8jqglfee4udbr	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-17T23:26:37Z	2022-09-17T23:45:31Z	5473a87c627c6bf978f5295603de6e1f32344298	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	1c7af31d4e4edd13dd7b9d3a859afd55d54dee4a	2022-09-17T23:29:51Z	5a59459c778cc7ed48e02fdfe2500d3444a1eeb9	1		7sa4clpol45ht	8jqglfee4udbr	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-17T23:44:45Z	2022-09-17T23:46:09Z	be377d2a26f96280080348f707cd58ed8e8a0c8b	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	ca2cfd965abe0aff1725a634a8e15a5d79d25ba4	2022-09-17T23:44:54Z	00cb6e82406b0a456c52766285d748c2e7a8b21d	1		7sa4clpol45ht	d7eoqutk113gc	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-17T23:44:45Z	2022-09-17T23:46:09Z	be377d2a26f96280080348f707cd58ed8e8a0c8b	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	ca2cfd965abe0aff1725a634a8e15a5d79d25ba4	2022-09-17T23:44:54Z	18c6e27665389d81235de9c1aa6d43b689a9e1b1	1			d7eoqutk113gc	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-17T23:43:35Z	2022-09-17T23:49:35Z	835395abe8f1c42aa1aa07424c84cc154809ca38	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	7625dca2956ecc92810455fecc75763baf8ec9e8	2022-09-17T23:43:37Z	dbab253c355ad6a49161388dc29ed92d5114f022	1		7sa4clpol45ht	89bmmbm9pruiu	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-17T23:46:55Z	2022-09-17T23:49:52Z	4f500006c19c7f7716b657057bc2f0bb08183577	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	cfb11ae2334a907958e68dffc1d31671ab70fc48	2022-09-17T23:46:57Z	416dde2dd536ceafd7236672dbb77bfdf3eb28aa	1		5b80irjqgbmmp	89bmmbm9pruiu	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-17T23:43:52Z	2022-09-17T23:50:36Z	5c9abdac1f8b07973fd44a2f0fbde9d048dc127d	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	db480286cc46e6f3a1dfa14aa99e3398a4f8fecb	2022-09-17T23:45:15Z	5a59459c778cc7ed48e02fdfe2500d3444a1eeb9	5		7sa4clpol45ht	8q0tccgu00t9o	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-17T23:43:52Z	2022-09-17T23:50:36Z	5c9abdac1f8b07973fd44a2f0fbde9d048dc127d	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	d5604a903268ad576259c6632f894e60f6268c04	2022-09-17T23:45:41Z	213cc05f478383ecbc2146f04140f1b1dea3aa15	1		5b80irjqgbmmp	8q0tccgu00t9o	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-17T23:43:52Z	2022-09-17T23:50:36Z	5c9abdac1f8b07973fd44a2f0fbde9d048dc127d	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	aba36bf1189bd43b3b4a6cbd4b1ba0ba6cd413a9	2022-09-17T23:43:54Z	6dc87e839fde617cc9898fd236b6318ba8234dca	1		7sa4clpol45ht	8q0tccgu00t9o	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-17T23:43:52Z	2022-09-17T23:50:36Z	5c9abdac1f8b07973fd44a2f0fbde9d048dc127d	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	1842271ea1a0933cf4e8fbc8fd58b4c16a8cd4f1	2022-09-17T23:46:02Z	58e2b85750145054ea3040525e77070ffc166c29	1		5b80irjqgbmmp	8q0tccgu00t9o	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-17T23:43:52Z	2022-09-17T23:50:36Z	5c9abdac1f8b07973fd44a2f0fbde9d048dc127d	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	e30753edb2a6625c875e0d4ac48cb82cb2137b7d	2022-09-17T23:49:11Z	b54ee19e3e921ec464167daed7900d208d5b442a	2		7sa4clpol45ht	8q0tccgu00t9o	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-17T23:40:07Z	2022-09-17T23:53:53Z	396bb5f4df7ef79cf4953a698f220750077e437f	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	abfd9b461543bb42c7b3fbbadcee8cef5bebc481	2022-09-17T23:40:35Z	c31820751e357b83ae04c61929c8984f745a5ab9	1		7sa4clpol45ht	d7eoqutk113gc	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-17T23:40:07Z	2022-09-17T23:53:53Z	396bb5f4df7ef79cf4953a698f220750077e437f	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	abfd9b461543bb42c7b3fbbadcee8cef5bebc481	2022-09-17T23:40:35Z	514d4a6205ced33a62918f5c682f89711b379385	1		7sa4clpol45ht	d7eoqutk113gc	
